iter	Logloss
0	0.6445292692
1	0.597035243
2	0.5565158304
3	0.522462825
4	0.4934736863
5	0.46843287
6	0.4471476169
7	0.4289868193
8	0.4132012197
9	0.3996640143
10	0.3867439306
11	0.3756737367
12	0.3663861534
13	0.3581063717
14	0.350813648
15	0.3444180189
16	0.338969618
17	0.3341546597
18	0.3299835342
19	0.3258919489
20	0.322405618
21	0.3192642342
22	0.3162472135
23	0.3134840721
24	0.3109452646
25	0.3086351831
26	0.3066135335
27	0.3047620291
28	0.3029078882
29	0.3011502895
30	0.2995259683
31	0.2981288074
32	0.296718972
33	0.295404162
34	0.2941894693
35	0.2929890055
36	0.2918688264
37	0.2908738542
38	0.2899694766
39	0.2891059368
40	0.2882315779
41	0.2874704963
42	0.2867232032
43	0.2860270295
44	0.2853635728
45	0.2847113776
46	0.2841247615
47	0.28358033
48	0.2830989299
49	0.2825667192
50	0.2820935437
51	0.281618643
52	0.2812192356
53	0.2808215383
54	0.2804420904
55	0.2800810241
56	0.2797606065
57	0.2794286024
58	0.2791242346
59	0.278858005
60	0.2785518537
61	0.2782679772
62	0.2780301492
63	0.2777787049
64	0.2775482268
65	0.2773342386
66	0.277139464
67	0.2769185571
68	0.2767219892
69	0.2765260734
70	0.2763527427
71	0.2761555835
72	0.2759919292
73	0.2758294281
74	0.2756655195
75	0.2755070014
76	0.2753579242
77	0.2752185722
78	0.275094696
79	0.2749624723
80	0.274832427
81	0.2747050642
82	0.2745840603
83	0.2744830385
84	0.2743742972
85	0.2742696746
86	0.274164983
87	0.2740700914
88	0.2739781558
89	0.2738859951
90	0.2737888075
91	0.2737061906
92	0.2736210897
93	0.2735417112
94	0.2734672187
95	0.2734042011
96	0.2733280174
97	0.2732536073
98	0.2731849854
99	0.2731230535
100	0.2730441691
101	0.272978265
102	0.2729094005
103	0.2728522406
104	0.272794342
105	0.2727287144
106	0.2726705801
107	0.2726142012
108	0.2725638033
109	0.272520075
110	0.2724586936
111	0.2724150407
112	0.2723630203
113	0.2723241927
114	0.2722726361
115	0.2722363896
116	0.272195813
117	0.2721613503
118	0.2721255611
119	0.2720923448
120	0.2720524411
121	0.2720082086
122	0.2719718825
123	0.2719404044
124	0.2719121645
125	0.2718825113
126	0.2718346512
127	0.2718036053
128	0.2717746684
129	0.2717447354
130	0.2717142531
131	0.2716844012
132	0.2716572258
133	0.271591292
134	0.2715574564
135	0.2715324407
136	0.2715078711
137	0.2714769819
138	0.2714528495
139	0.2714300198
140	0.2714058711
141	0.2713668389
142	0.2713434915
143	0.2713240054
144	0.2712985491
145	0.2712807585
146	0.271261417
147	0.2712283267
148	0.2711920649
149	0.271165864
150	0.2711501111
151	0.2711314689
152	0.2711090529
153	0.27109433
154	0.271074542
155	0.271053456
156	0.2710195903
157	0.2710053916
158	0.2709896669
159	0.2709779057
160	0.2709542028
161	0.2709395173
162	0.2709203459
163	0.2709083433
164	0.2708968995
165	0.2708800103
166	0.2708598562
167	0.2708456413
168	0.2708244603
169	0.2708146651
170	0.2708016223
171	0.2707910815
172	0.2707808337
173	0.2707685461
174	0.270742848
175	0.2707278945
176	0.2707174865
177	0.2707048937
178	0.2706948318
179	0.2706836964
180	0.2706642631
181	0.2706485135
182	0.2706226985
183	0.270562885
184	0.2705445532
185	0.2705326404
186	0.2705181674
187	0.2704951119
188	0.270478244
189	0.2704644407
190	0.2704391846
191	0.2704290248
192	0.2704135268
193	0.270395588
194	0.2703847384
195	0.2703730995
196	0.2703644863
197	0.2703425167
198	0.270329862
199	0.2703172792
200	0.2703044262
201	0.2702926743
202	0.2702787731
203	0.2702679713
204	0.2702603699
205	0.270250774
206	0.2702403051
207	0.2702300957
208	0.2702079592
209	0.2701973787
210	0.2701882236
211	0.2701795809
212	0.2701566969
213	0.2701481129
214	0.2701382746
215	0.2701305202
216	0.2701195213
217	0.2700591959
218	0.2700415107
219	0.2700315495
220	0.2700253856
221	0.2700158143
222	0.2700051168
223	0.269979762
224	0.2699566077
225	0.2699512305
226	0.2699426506
227	0.2699329485
228	0.2699266553
229	0.2699156301
230	0.2698786093
231	0.2698708086
232	0.269857174
233	0.2698467754
234	0.2698387269
235	0.2698309907
236	0.2698191157
237	0.2698057687
238	0.2697758699
239	0.2697697455
240	0.2697622335
241	0.269754509
242	0.2697443656
243	0.269730203
244	0.2697224927
245	0.2696962331
246	0.2696875341
247	0.2696764861
248	0.2696675188
249	0.2696527372
250	0.2696437123
251	0.269636476
