iter	Passed	Remaining
0	284	350640
1	562	345987
2	812	333075
3	1064	327163
4	1304	320276
5	1542	315524
6	1819	318645
7	2062	315862
8	2298	312609
9	2534	309988
10	2762	306864
11	2990	304306
12	3204	300754
13	3418	297676
14	3668	297866
15	3939	299649
16	4181	299115
17	4458	300958
18	4739	302833
19	4948	300112
20	5126	295877
21	5309	292254
22	5517	290290
23	5695	286911
24	5878	284072
25	6115	283904
26	6312	281942
27	6487	279191
28	6687	277632
29	6866	275343
30	7068	274067
31	7302	274062
32	7505	272928
33	7688	271141
34	7868	269322
35	8070	268331
36	8243	266461
37	8408	264437
38	8579	262668
39	8751	261017
40	8964	260625
41	9119	258605
42	9278	256771
43	9459	255631
44	9626	254138
45	9872	254759
46	10071	254154
47	10229	252540
48	10396	251224
49	10588	250521
50	10753	249233
51	10908	247751
52	11094	247009
53	11258	245810
54	11404	244256
55	11568	243151
56	11735	242130
57	11893	240944
58	12064	240058
59	12220	238906
60	12387	237995
61	12552	237081
62	12705	235953
63	12876	235203
64	13045	234419
65	13209	233575
66	13367	232628
67	13527	231758
68	13690	230952
69	13849	230101
70	14026	229558
71	14189	228803
72	14355	228122
73	14527	227526
74	14680	226665
75	14837	225887
76	15006	225297
77	15212	225262
78	15398	224935
79	15562	224294
80	15746	223945
81	15923	223516
82	16092	222965
83	16298	222939
84	16459	222299
85	16642	221963
86	16834	221753
87	17014	221376
88	17154	220499
89	17323	220011
90	17488	219472
91	17661	219040
92	17860	218936
93	18028	218455
94	18187	217866
95	18369	217565
96	18511	216797
97	18698	216556
98	18856	215994
99	19017	215468
100	19170	214866
101	19328	214315
102	19508	214025
103	19676	213603
104	19861	213365
105	20040	213077
106	20229	212883
107	20469	213220
108	20648	212929
109	20842	212778
110	21013	212404
111	21206	212255
112	21403	212144
113	21578	211811
114	21763	211581
115	21946	211331
116	22103	210833
117	22279	210526
118	22442	210091
119	22644	210024
120	22819	209711
121	23011	209551
122	23172	209119
123	23367	208985
124	23546	208718
125	23714	208344
