iter	Logloss
0	0.6384374804
1	0.5914736274
2	0.5519745479
3	0.5182787958
4	0.4899191924
5	0.4656372561
6	0.4452088136
7	0.4272615327
8	0.4121808577
9	0.3986422285
10	0.3870378089
11	0.3758707042
12	0.3664098561
13	0.358125689
14	0.351178453
15	0.3445576291
16	0.3390638256
17	0.3340045537
18	0.3297277695
19	0.3255526467
20	0.3219880812
21	0.318843421
22	0.3157815225
23	0.3130352903
24	0.3107011029
25	0.3083030325
26	0.306265666
27	0.3042164795
28	0.3023149717
29	0.3006232339
30	0.2991113673
31	0.2976300196
32	0.2962088289
33	0.2949288497
34	0.2936464447
35	0.2925233
36	0.2914801509
37	0.29047422
38	0.2895242374
39	0.2886733946
40	0.2878447623
41	0.2870711893
42	0.2862908187
43	0.2855678739
44	0.2849418706
45	0.2842857032
46	0.2837429111
47	0.2832052671
48	0.2826907909
49	0.2822007437
50	0.2817191541
51	0.2812738972
52	0.2808341413
53	0.2804544587
54	0.2800677552
55	0.2797290037
56	0.2793685293
57	0.2790288202
58	0.2787026832
59	0.2784029399
60	0.2781058283
61	0.2778231931
62	0.2775688805
63	0.2773382489
64	0.2771517105
65	0.2769216068
66	0.2766873922
67	0.276473077
68	0.2762547523
69	0.2760609176
70	0.2758812397
71	0.2756965522
72	0.2755338224
73	0.2753827059
74	0.2752467766
75	0.27511312
76	0.2749791054
77	0.2748265747
78	0.2746800245
79	0.2745564422
80	0.2744280977
81	0.274304997
82	0.2741764022
83	0.2740699954
84	0.2739795383
85	0.2738905426
86	0.2737815021
87	0.2736824879
88	0.2735957949
89	0.2734980687
90	0.2734096936
91	0.2733285733
92	0.2732406242
93	0.2731597754
94	0.273082508
95	0.273000871
96	0.2729331424
97	0.2728604007
98	0.2727980623
99	0.2727323807
100	0.2726613894
101	0.2725956875
102	0.272537244
103	0.2724741013
104	0.2724259701
105	0.2723620185
106	0.272307798
107	0.2722579292
108	0.2722148386
109	0.2721523205
110	0.2721108474
111	0.2720656899
112	0.2720249989
113	0.2719884932
114	0.2719474314
115	0.2718949867
116	0.2718559598
117	0.2718085027
118	0.2717759596
119	0.2717448783
120	0.2717093135
121	0.2716664229
122	0.2716151939
123	0.2715779366
124	0.2715449053
125	0.2715150973
126	0.2714708612
127	0.2714425209
128	0.271413423
129	0.2713784743
130	0.2713449091
131	0.2713056408
132	0.2712647336
133	0.2712338642
134	0.2712101437
135	0.2711819239
136	0.2711566875
137	0.2711354082
138	0.271114517
139	0.2710928046
140	0.2710734347
141	0.2710481592
142	0.2710328747
143	0.271009901
144	0.2709466289
145	0.2709302146
146	0.2709116962
147	0.2708685055
148	0.2708472175
149	0.2708215924
150	0.270804292
151	0.2707875295
152	0.2707702421
153	0.2707518748
154	0.2707301101
155	0.2707156209
156	0.2706943905
157	0.2706716183
158	0.2706415586
159	0.2706272283
160	0.2706090122
161	0.2705888822
162	0.2705742803
163	0.2705578286
164	0.2705440815
165	0.2705266354
166	0.2705084372
167	0.270494845
168	0.2704797444
169	0.2704707726
170	0.2704528582
171	0.2704354693
172	0.270424424
173	0.2704153189
174	0.2704028607
175	0.2703858055
176	0.2703588558
177	0.2703427405
178	0.270301517
179	0.2702904172
180	0.2702815569
181	0.2702657941
182	0.2702484201
183	0.2702424455
184	0.2702272651
185	0.2702103007
186	0.2701798917
187	0.2701659786
188	0.2701557356
189	0.270140589
190	0.2701285083
191	0.2701231489
192	0.2701150619
193	0.2701036627
194	0.2700920901
195	0.2700839415
196	0.2700739417
197	0.270067291
198	0.2700544952
199	0.2699909232
200	0.2699809635
201	0.2699701217
202	0.2699603534
203	0.2699524417
204	0.269944045
205	0.2699346001
206	0.2699248985
207	0.2699169908
208	0.2699097617
209	0.269901758
210	0.2698914074
211	0.2698839328
212	0.2698792861
213	0.2698692807
214	0.2698575629
215	0.2698530106
216	0.2698455981
217	0.2698355116
218	0.2698246963
219	0.2698175014
220	0.2698081351
221	0.2697998227
222	0.2697918773
223	0.2697843783
224	0.2697750617
225	0.2697669337
226	0.2697574832
227	0.2697508637
228	0.2696987604
229	0.2696753871
230	0.2696612682
231	0.2696388976
232	0.2696313526
233	0.2696222218
234	0.2696129584
235	0.2696047091
236	0.2695776632
237	0.2695692882
238	0.2695499239
239	0.269539864
240	0.2695281477
241	0.2695163582
242	0.2695075813
243	0.2694995172
244	0.2694929268
245	0.2694876491
246	0.2694803272
247	0.2694641576
248	0.2694575782
249	0.2694483829
250	0.2694398406
251	0.2694289549
252	0.2694199882
253	0.2694079317
254	0.269399977
255	0.2693886015
256	0.2693675689
257	0.2693596195
258	0.2693530349
259	0.2693334019
260	0.2693227843
261	0.2693145985
262	0.2693057171
263	0.2692967717
264	0.2692895077
265	0.2692818444
266	0.2692738385
267	0.2692617528
268	0.2691895059
269	0.2691375312
270	0.2691205387
271	0.2691009133
272	0.2690927042
273	0.269073979
274	0.2690525444
275	0.2690401667
276	0.2690337972
277	0.2690276782
278	0.2690181227
279	0.2690105855
280	0.2690047935
281	0.268986419
282	0.2689797677
283	0.2689371586
284	0.268929085
285	0.2689234362
286	0.2689181275
287	0.2689020713
288	0.2688958298
289	0.2688883465
290	0.2688829181
291	0.2688740511
292	0.2688662545
293	0.2688581836
294	0.2688534372
295	0.2688491291
296	0.268842877
297	0.2688396853
298	0.2688020459
299	0.2687943478
300	0.2687610269
301	0.2687528365
302	0.2687438558
303	0.2687265925
304	0.2687167882
305	0.2687129172
306	0.2687067162
307	0.268701113
308	0.2686952779
309	0.2686823264
310	0.2686632036
311	0.2686476219
312	0.2686325901
313	0.2686245872
314	0.2686213775
315	0.2686088565
316	0.2686007607
317	0.2685936498
318	0.2685851703
319	0.2685782605
320	0.2685614781
321	0.2685546861
322	0.2685495679
323	0.2685195058
324	0.2685144927
325	0.2685091013
326	0.2684997915
327	0.2684917101
328	0.2684866263
329	0.268482539
330	0.2684796326
331	0.2684670738
332	0.2684528226
333	0.2684480702
334	0.2684390446
335	0.2684339929
336	0.2684296571
337	0.2684231047
338	0.2684211207
339	0.2684099658
340	0.2683952729
341	0.2683881358
342	0.268376763
343	0.2683611811
344	0.2683225948
345	0.2683078461
346	0.2683052709
347	0.2682817161
348	0.2682756548
349	0.2682693077
350	0.2682594035
351	0.2682529053
352	0.2682479146
353	0.2682444304
354	0.2682388565
355	0.2682179958
356	0.2682016449
357	0.2681884686
358	0.2681742035
359	0.2681557029
360	0.2681492487
361	0.2681383235
362	0.2681338552
363	0.2681320856
364	0.2681241828
365	0.268112496
366	0.2681051558
367	0.2680993049
368	0.2680829503
369	0.2680717451
370	0.2680633488
371	0.2680586373
372	0.2680438421
373	0.268033503
374	0.2680190271
375	0.2680108535
376	0.267995913
377	0.2679819047
378	0.2679717652
379	0.2679538785
380	0.2679488393
381	0.2679378702
382	0.2679288384
383	0.2679161372
384	0.2679070671
385	0.2678992143
386	0.2678879059
387	0.2678796533
388	0.2678755184
389	0.2678702537
390	0.2678623013
391	0.2678563234
392	0.2678511293
393	0.2678458784
394	0.2678394807
395	0.2678328775
396	0.2678294862
397	0.2678269624
398	0.2678209359
399	0.2678169471
400	0.2678154897
401	0.2678074113
402	0.2677960552
403	0.2677790469
404	0.2677722795
405	0.2677671354
406	0.267751122
407	0.267746398
408	0.2677401612
409	0.2677301432
410	0.267712727
411	0.2677048213
412	0.2676959775
413	0.2676939981
414	0.2676889676
415	0.2676824957
416	0.26767566
417	0.2676674696
418	0.2676626659
419	0.2676573166
420	0.2676499479
421	0.267645543
422	0.267639489
423	0.2676299343
424	0.2676244332
425	0.267620881
426	0.267615105
427	0.2676106426
428	0.2676067169
429	0.2676002424
430	0.2675954516
431	0.2675919604
432	0.2675809255
433	0.2675757556
434	0.267569185
435	0.2675639683
436	0.2675487328
437	0.2675421581
438	0.2675349865
439	0.2675256254
440	0.2675214004
441	0.2675134082
442	0.2674998549
443	0.2674932681
444	0.2674886689
445	0.2674846385
446	0.267473697
447	0.2674691549
448	0.2674676258
449	0.2674635097
450	0.2674586328
451	0.2674506897
452	0.2674394487
453	0.2674358756
454	0.2674324965
455	0.2674285498
456	0.267425133
457	0.2674191179
458	0.2674156569
459	0.26740891
460	0.2674033815
461	0.2673992832
462	0.2673958751
463	0.2673885996
464	0.2673826748
465	0.2673787553
466	0.2673754058
467	0.2673723551
468	0.2673688718
469	0.267367301
470	0.2673602427
471	0.2673497776
472	0.2673416151
473	0.2673338687
474	0.2673302855
475	0.2673259287
476	0.2673222305
477	0.267319195
478	0.2673178193
479	0.2673098481
480	0.2672935043
481	0.2672838155
482	0.2672784432
483	0.2672763008
484	0.2672716713
485	0.2672657786
486	0.2672614988
487	0.2672540713
488	0.2672451877
489	0.2672355364
490	0.2672305553
491	0.2672255454
492	0.2672216781
493	0.2672130604
494	0.2672084049
495	0.2672045878
496	0.2671997713
497	0.2671958141
498	0.2671914964
499	0.2671884817
500	0.2671836239
501	0.267177697
502	0.2671735041
503	0.2671730265
504	0.2671690518
505	0.2671635195
506	0.2671602476
507	0.2671563534
508	0.2671539402
509	0.2671468628
510	0.2671398438
511	0.2671349337
512	0.2671304547
513	0.2671285187
514	0.2671207402
515	0.2671166821
516	0.2671130623
517	0.2671079325
518	0.2671057639
519	0.2670982441
520	0.2670953998
521	0.2670904384
522	0.267086184
523	0.2670826434
524	0.267076292
525	0.2670728968
526	0.2670702889
527	0.2670662264
528	0.2670564539
529	0.2670539513
530	0.2670502852
531	0.2670448523
532	0.267042434
533	0.2670350632
534	0.2670275843
535	0.2670242582
536	0.267020683
537	0.2670175989
538	0.2670130063
539	0.267006834
540	0.2670014464
541	0.2669964342
542	0.2669948907
543	0.2669888099
544	0.2669864115
545	0.2669816821
546	0.2669795549
547	0.2669782719
548	0.2669742495
549	0.2669716762
550	0.2669694584
551	0.2669664452
552	0.2669635576
553	0.2669613775
554	0.2669555452
555	0.2669471094
556	0.2669421611
557	0.2669358784
558	0.2669323188
559	0.2669191758
560	0.2669154671
561	0.2669123205
562	0.2669087291
563	0.2669017627
564	0.266896593
565	0.2668920713
566	0.2668883222
567	0.2668852068
568	0.2668811019
569	0.2668784935
570	0.2668757912
571	0.2668739618
572	0.2668692229
573	0.2668655227
574	0.2668638873
575	0.2668574427
576	0.2668522668
577	0.2668493455
578	0.2668434165
579	0.2668406475
580	0.2668398466
581	0.2668371564
582	0.2668274802
583	0.266823527
584	0.2668215277
585	0.2668199593
586	0.2668167284
587	0.2668122895
588	0.266808596
589	0.2668042764
590	0.2668025397
