iter	Passed	Remaining
0	241	297122
1	474	292124
2	703	288407
3	909	279369
4	1143	280820
5	1317	269353
6	1502	263107
7	1694	259496
8	1875	255099
9	2063	252382
10	2258	250893
11	2482	252548
12	2658	249464
13	2849	248109
14	3036	246590
15	3242	246652
16	3453	247043
17	3703	249968
18	3911	249911
19	4118	249760
20	4322	249466
21	4529	249308
22	4747	249773
23	4966	250205
24	5184	250508
25	5397	250570
26	5576	249078
27	5777	248621
28	5980	248294
29	6191	248270
30	6410	248542
31	6638	249149
32	6842	248808
33	7055	248798
34	7284	249325
35	7500	249380
36	7718	249489
37	7920	249066
38	8130	248912
39	8344	248870
40	8537	248215
41	8780	248988
42	9031	249949
43	9270	250514
44	9482	250341
45	9698	250270
46	9911	250119
47	10137	250262
48	10357	250269
49	10547	249554
50	10738	248891
51	10952	248751
52	11156	248381
53	11386	248607
54	11591	248270
55	11800	248026
56	12009	247779
57	12262	248428
58	12488	248505
59	12730	248884
60	12957	248945
61	13196	249251
62	13428	249380
63	13638	249119
64	13875	249328
65	14130	249860
66	14387	250392
67	14613	250360
68	14799	249662
69	14998	249195
70	15185	248526
71	15404	248397
72	15604	247962
73	15826	247882
74	16039	247649
75	16218	246902
76	16422	246546
77	16636	246344
78	16843	246046
79	17036	245533
80	17249	245328
81	17468	245200
82	17675	244903
83	17924	245179
84	18128	244840
85	18327	244432
86	18510	243826
87	18735	243777
88	18929	243314
89	19125	242889
90	19388	243316
91	19593	242998
92	19794	242641
93	20001	242358
94	20206	242046
95	20424	241903
96	20626	241560
97	20842	241384
98	21002	240575
99	21214	240354
100	21427	240158
101	21646	240022
102	21846	239675
103	22039	239260
104	22257	239107
105	22516	239401
106	22713	239021
107	22907	238618
108	23093	238136
109	23305	237923
110	23514	237683
111	23676	236976
112	23898	236875
113	24119	236754
114	24359	236817
115	24626	237134
116	24858	237115
117	25057	236772
118	25277	236628
119	25502	236538
120	25685	236054
121	25918	236025
122	26142	235921
123	26365	235799
124	26581	235621
125	26779	235273
126	26996	235105
127	27197	234786
128	27412	234600
129	27662	234706
130	27882	234551
131	28088	234280
132	28294	234017
133	28553	234184
134	28797	234215
135	29017	234059
136	29240	233922
137	29466	233808
138	29652	233377
139	29906	233485
140	30128	233338
141	30361	233271
142	30578	233081
143	30798	232913
144	31029	232825
145	31249	232656
146	31445	232310
147	31655	232071
148	31862	231807
149	32073	231568
150	32279	231302
151	32507	231185
152	32718	230952
153	32898	230503
154	33114	230303
155	33315	230007
156	33511	229669
157	33722	229438
158	33944	229285
159	34142	228966
160	34369	228843
161	34571	228553
162	34774	228277
163	34977	227996
164	35245	228136
165	35462	227945
166	35677	227739
167	35919	227703
168	36122	227424
169	36316	227084
170	36543	226953
171	36745	226668
172	36979	226579
173	37180	226290
174	37415	226203
175	37660	226175
176	37879	225991
177	38076	225679
178	38296	225499
179	38500	225229
180	38649	224637
181	38881	224529
182	39120	224462
183	39283	223959
184	39512	223831
185	39735	223673
186	39948	223457
187	40164	223252
188	40432	223339
189	40649	223142
190	40881	223027
191	41087	222772
192	41316	222640
193	41530	222423
194	41742	222199
195	42007	222254
196	42255	222214
197	42482	222067
198	42729	222019
199	42974	221961
200	43175	221675
201	43398	221503
202	43638	221415
203	43891	221395
204	44138	221337
205	44387	221289
206	44631	221219
207	44871	221121
208	45134	221136
209	45316	220755
210	45538	220570
211	45816	220655
212	45996	220266
213	46252	220238
214	46490	220127
215	46673	219754
216	46931	219733
217	47170	219625
218	47415	219538
219	47628	219308
220	47849	219112
221	48088	218996
222	48308	218798
223	48521	218562
224	48721	218273
225	48947	218097
226	49168	217900
227	49368	217611
228	49589	217416
229	49804	217192
230	50040	217060
231	50256	216840
232	50472	216618
233	50712	216502
234	50991	216550
235	51220	216385
236	51416	216077
237	51606	215751
238	51842	215611
239	52070	215443
240	52295	215259
241	52518	215063
242	52713	214760
243	52954	214638
244	53184	214475
245	53428	214365
246	53629	214083
247	53833	213812
248	54071	213680
249	54290	213469
250	54518	213296
251	54729	213054
252	54959	212887
253	55191	212726
254	55398	212469
255	55606	212216
256	55816	211970
257	56062	211863
258	56332	211846
259	56545	211608
260	56733	211284
261	56933	211001
262	57173	210867
263	57344	210479
264	57586	210355
265	57803	210134
266	58025	209936
267	58285	209869
268	58536	209773
269	58766	209598
270	59009	209472
271	59247	209327
272	59476	209147
273	59712	208994
274	59937	208800
275	60170	208636
276	60424	208541
277	60674	208431
278	60874	208152
279	61096	207945
280	61345	207832
281	61587	207693
282	61772	207362
283	61990	207145
284	62265	207113
285	62520	207017
286	62750	206834
287	62972	206628
288	63218	206498
289	63463	206365
290	63709	206234
291	63900	205926
292	64109	205676
293	64326	205449
294	64563	205290
295	64767	205023
296	64979	204783
297	65195	204556
298	65413	204334
299	65656	204192
300	65872	203964
301	66078	203705
302	66284	203446
303	66524	203294
304	66792	203223
305	67037	203083
306	67279	202934
307	67507	202740
308	67746	202580
309	67943	202295
310	68145	202025
311	68371	201827
312	68613	201674
313	68817	201412
314	69016	201132
315	69262	200993
316	69491	200801
317	69720	200612
318	69962	200457
319	70177	200225
320	70396	200005
321	70642	199861
322	70869	199664
323	71112	199511
324	71355	199355
325	71566	199113
326	71758	198815
327	72012	198692
328	72253	198532
329	72491	198363
330	72659	198002
331	72877	197779
332	73040	197406
333	73282	197248
334	73517	197070
335	73730	196833
336	73989	196720
337	74211	196506
338	74404	196217
339	74685	196158
340	74949	196055
341	75166	195827
342	75369	195565
343	75577	195316
344	75837	195200
345	76065	194999
346	76291	194796
347	76526	194614
348	76761	194433
349	76984	194221
350	77239	194087
351	77513	194003
352	77775	193888
353	78025	193741
354	78243	193515
355	78470	193311
356	78694	193099
357	78920	192891
358	79146	192684
359	79299	192302
360	79521	192084
361	79693	191749
362	79900	191496
363	80099	191225
364	80344	191066
365	80574	190870
366	80807	190678
367	81020	190441
368	81236	190212
369	81449	189976
370	81662	189737
371	81907	189576
372	82136	189376
373	82400	189257
374	82558	188893
375	82804	188733
376	83014	188488
377	83256	188317
378	83494	188137
379	83729	187949
380	83937	187701
381	84140	187444
382	84355	187212
383	84570	186980
384	84795	186771
385	84952	186412
386	85109	186053
387	85355	185891
388	85601	185725
389	85829	185523
390	86050	185306
391	86290	185129
392	86548	184989
393	86788	184810
394	87023	184621
395	87265	184446
396	87462	184178
397	87695	183984
398	87889	183709
399	88098	183464
400	88273	183151
401	88485	182914
402	88715	182715
403	88931	182485
404	89168	182299
405	89397	182097
406	89645	181933
407	89864	181710
408	90084	181490
409	90324	181308
410	90628	181257
411	90999	181335
412	91361	181396
413	91715	181437
414	91975	181291
415	92247	181168
416	92465	180938
417	92730	180802
418	92999	180672
419	93297	180597
420	93535	180405
421	93777	180221
422	94012	180024
423	94238	179808
424	94454	179573
425	94688	179374
426	94967	179258
427	95205	179066
428	95459	178903
429	95687	178691
430	95902	178454
431	96143	178265
432	96358	178029
433	96579	177803
434	96795	177570
435	97044	177396
436	97257	177155
437	97468	176912
438	97678	176667
439	97899	176440
440	98134	176241
441	98354	176014
442	98540	175726
443	98753	175487
444	98994	175298
445	99236	175109
446	99463	174894
447	99690	174681
448	99901	174437
449	100142	174247
450	100358	174014
451	100580	173790
452	100803	173568
453	101016	173329
454	101257	173139
455	101487	172930
456	101689	172671
457	101934	172487
458	102148	172250
459	102348	171990
460	102579	171781
461	102822	171592
462	103034	171353
463	103256	171129
464	103497	170937
465	103721	170718
466	103941	170490
467	104180	170294
468	104391	170054
469	104566	169753
470	104799	169548
471	105051	169372
472	105278	169158
473	105497	168930
474	105746	168749
475	105979	168542
476	106221	168351
477	106432	168109
478	106645	167872
479	106860	167637
480	107122	167476
481	107357	167273
482	107546	166997
483	107767	166772
484	107976	166528
485	108238	166366
486	108521	166236
487	108754	166028
488	108986	165820
489	109212	165601
490	109461	165418
491	109689	165202
492	109961	165053
493	110192	164842
494	110447	164667
495	110672	164446
496	110927	164270
497	111146	164041
498	111391	163850
499	111596	163599
500	111842	163411
501	112100	163238
502	112317	163005
503	112504	162729
504	112715	162488
505	112923	162243
506	113161	162042
507	113387	161823
508	113673	161688
509	113895	161463
510	114124	161248
511	114349	161027
512	114567	160796
513	114795	160579
514	115010	160345
515	115254	160149
516	115464	159907
517	115710	159716
518	115912	159463
519	116128	159229
520	116364	159024
521	116584	158796
522	116752	158497
523	116985	158287
524	117206	158060
525	117417	157821
526	117668	157635
527	117912	157439
528	118123	157200
529	118341	156970
530	118579	156765
531	118777	156509
532	118998	156283
533	119216	156053
534	119427	155813
535	119653	155593
536	119897	155398
537	120109	155160
538	120319	154920
539	120539	154692
540	120752	154455
541	120969	154224
542	121163	153964
543	121389	153745
544	121633	153548
545	121860	153330
546	122130	153165
547	122340	152926
548	122566	152705
549	122793	152486
550	123014	152260
551	123230	152028
552	123514	151880
553	123746	151667
554	123983	151461
555	124276	151322
556	124501	151100
557	124723	150875
558	124972	150682
559	125237	150509
560	125492	150322
561	125710	150092
562	125964	149904
563	126199	149694
564	126437	149487
565	126643	149242
566	126862	149012
567	127112	148820
568	127322	148579
